url,Données de base,Équipement,Certificats et attestations de conformité,Urbanisme et risques environnementaux,Aménagement intérieur,Cuisine et sanitaires,Description extérieure,Chauffage et énergie
https://immovlan.be/fr/detail/appartement/a-vendre/8370/blankenberge/rbt70306,Non,Oui,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",,,,
https://immovlan.be/fr/detail/immeuble-de-rapport/a-vendre/8600/dixmude/rbt70303,Excellent,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",1,1,3,
https://immovlan.be/fr/detail/maison/a-vendre/8480/ichtegem/rbt70221,Non,Non,,Non,,1,,
https://immovlan.be/fr/detail/maison/a-vendre/8470/gistel/rbt70220,Non,Non,,,,,4,
https://immovlan.be/fr/detail/immeuble-de-rapport/a-vendre/1210/saint-josse-ten-noode/vbc89814,À rénover,Non,311 kWh/m²/an,Pas de risque d’inondation,4,Equipée,,
https://immovlan.be/fr/detail/immeuble-de-rapport/a-vendre/1210/saint-josse-ten-noode/vbc89813,À rénover,Non,232 kWh/m²/an,,,Equipée,,
https://immovlan.be/fr/detail/terrain/a-vendre/6880/bertrix/vbc89774,Immédiatement,,,,,,1517 m²,
https://immovlan.be/fr/detail/immeuble-de-rapport/a-vendre/8370/blankenberge/rbt70150,Non,,,Non,3,3,,
https://immovlan.be/fr/detail/surface-commerciale/a-vendre/1090/jette/rbt70099,Nouveau,,,,,,Oui,
https://immovlan.be/fr/detail/appartement/a-vendre/1090/jette/rbt70097,Nouveau,,"non, pas d'attestation",Information non communiquée,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/1000/bruxelles/vbc89694,Excellent,Oui,,,1,,3,
https://immovlan.be/fr/detail/maison/a-vendre/8610/kortemark/rbt69991,Non,Non,,Non,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9090/gontrode/rbt69725,Excellent,,,"Zone d'habitat (résidentiel, urbain ou rural)",3,,3,
https://immovlan.be/fr/detail/fonds-de-commerce/a-vendre/8791/beveren-leie/rbt69724,Excellent,,,Zone d'extension d'habitat,2,1,Oui,
https://immovlan.be/fr/detail/duplex/a-vendre/3550/zolder/rbt69836,Excellent,Non,148 kWh/m²/an,,,1,,Non
